,B_mature|Naive,B_mature|Memory_switched,B_mature|Memory_unswitched,B_mature|Memory_atypical,B_mature|HSP,B_mature|ISG,B_mature|CCL4,B_mature|GBP,B_mature|EGR,Cancer_Tissue,Cancer_Type
GSE171964_2053_0,0.5503759398496241,0.34135338345864663,0.10827067669172932,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE213282_GEX_NextGEM_C,0.6236263736263736,0.2692307692307692,0.08791208791208792,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,Control,
GSE173303_62B-5GE,0.7378640776699029,0.0,0.13592233009708737,0.0,0.0,0.0,0.0,0.0,0.1262135922330097,Non-malignant disease,
GSE178481_RCC-PR3-T1,0.7543859649122807,0.07017543859649122,0.12280701754385964,0.0,0.0,0.017543859649122806,0.03508771929824561,0.0,0.0,Cancer_Tumor,RCC
GSE164690_HN18_CD45p,0.033112582781456956,0.37748344370860926,0.23841059602649006,0.0,0.039735099337748346,0.2582781456953642,0.0,0.052980132450331126,0.0,Cancer_Tumor,HNSCC
GSE132338_p1035843-7,0.9692307692307692,0.03076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE182244_HD1,0.16260162601626016,0.6178861788617886,0.08401084010840108,0.13550135501355012,0.0,0.0,0.0,0.0,0.0,Control,
GSE153892_Sample_03_healthy,0.27586206896551724,0.23275862068965517,0.4396551724137931,0.0,0.02586206896551724,0.0,0.0,0.0,0.02586206896551724,Cancer_AdjNorm,PRC
GSE166992_IVAR105D,0.9306569343065694,0.03102189781021898,0.020072992700729927,0.0072992700729927005,0.0,0.0,0.010948905109489052,0.0,0.0,Control,
GSE179346_HD1,0.6086956521739131,0.02608695652173913,0.23478260869565218,0.0,0.06086956521739131,0.0,0.008695652173913044,0.0,0.06086956521739131,Control,
GSE132338_p1035845-9,0.8233766233766234,0.11948051948051948,0.012987012987012988,0.04415584415584416,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE136035_165,0.27385159010600707,0.0989399293286219,0.002944640753828033,0.6207302709069493,0.0,0.0035335689045936395,0.0,0.0,0.0,Non-malignant disease,
GSE167029_P5,0.9221789883268483,0.0,0.07782101167315175,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE171964_2049_2,0.406,0.428,0.152,0.014,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE171555_61BBAD-14,0.5550755939524838,0.23326133909287258,0.1857451403887689,0.02591792656587473,0.0,0.0,0.0,0.0,0.0,Control,
GSE136103_blood2,0.6576576576576577,0.3333333333333333,0.0,0.0,0.0,0.0,0.009009009009009009,0.0,0.0,Non-malignant disease,
GSE162616_IT20180531,0.05844155844155844,0.03896103896103896,0.8311688311688312,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,Cancer_Tumor,HCC
GSE154405_DH663,0.24074074074074073,0.14814814814814814,0.2962962962962963,0.0,0.05555555555555555,0.0,0.14814814814814814,0.0,0.1111111111111111,Control,
GSE171555_40067F-07,0.41444444444444445,0.24333333333333335,0.3422222222222222,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE178991_sample_II_3_5primeGEX,0.7612472160356347,0.0,0.23875278396436525,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE216329_P1_TN_ADM001_DaHi_G,0.7711864406779662,0.2076271186440678,0.0211864406779661,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Blood,NSCLC
GSE133028_29_PB_uns_5pGEX,0.6683544303797468,0.18227848101265823,0.14936708860759493,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE144469_CT4-CD45,0.3465909090909091,0.42424242424242425,0.2215909090909091,0.0,0.007575757575757576,0.0,0.0,0.0,0.0,Control,
GSE216329_P21_T_ADM001_MorD3_3_G,0.7076923076923077,0.23846153846153847,0.046153846153846156,0.0,0.0,0.0,0.0,0.007692307692307693,0.0,Cancer_Blood,NSCLC
GSE162806_MM3012_4h,0.8,0.17391304347826086,0.021739130434782608,0.0,0.0,0.004347826086956522,0.0,0.0,0.0,Non-malignant disease,
GSE136103_blood1,0.856353591160221,0.143646408839779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE155468_10x_RPP_TAA_6,0.0,0.04819277108433735,0.9518072289156626,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE129845_135,0.7013698630136986,0.0,0.27808219178082194,0.0,0.02054794520547945,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE181919_LN46,0.048239895697522815,0.0,0.3246414602346806,0.0,0.003911342894393742,0.6232073011734028,0.0,0.0,0.0,Cancer_Metastasis,HNSCC
GSE121380_HB35,0.6732456140350878,0.05263157894736842,0.2741228070175439,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE162806_MM3038_24h,0.8457583547557841,0.11053984575835475,0.043701799485861184,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE145370_R5A5,0.16414435389988358,0.2968568102444703,0.3178114086146682,0.0,0.07334109429569266,0.0,0.07450523864959255,0.0,0.07334109429569266,Cancer_Tumor,ESCA
GSE178991_C2_GEXL,0.729121278140886,0.0,0.270878721859114,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE178991_sample_II_1_5primeGEX,0.7294889826535396,0.02297233942803563,0.24753867791842477,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE156776_A16,0.44610778443113774,0.0748502994011976,0.4550898203592814,0.0,0.0,0.0,0.0,0.0,0.023952095808383235,Non-malignant disease,
GSE150516_726INF,0.35960591133004927,0.21428571428571427,0.4064039408866995,0.0,0.0,0.0,0.0,0.019704433497536946,0.0,Non-malignant disease,
GSE121380_HB45,0.7337662337662337,0.14285714285714285,0.07792207792207792,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,Non-malignant disease,
GSE167029_C31,0.4456140350877193,0.015789473684210527,0.5385964912280702,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE168933_NASH1_POOL_20190311_NASH_1,0.7837837837837838,0.10810810810810811,0.08108108108108109,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,Non-malignant disease,
GSE162806_MM3005_Ctrl,0.6531986531986532,0.22895622895622897,0.11784511784511785,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE171703_S210v2_RNA,0.8115134633240483,0.18848653667595172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
