,Mural|FGF7,Mural|RERGL,Mural|CD36,Mural|TNFAIP6,Mural|SPINT2,Mural|LAMC3,Mural|ISG,Mural|ROBO2,Cancer_Tissue,Cancer_Type
GSE158924_scGA1__HHT,0.49444444444444446,0.38333333333333336,0.08333333333333333,0.0,0.0,0.0,0.03888888888888889,0.0,Non-malignant disease,
GSE130646_muscle2V1,0.0,0.47297297297297297,0.527027027027027,0.0,0.0,0.0,0.0,0.0,Control,
GSE180878_PM_G,0.524390243902439,0.47560975609756095,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE181957_SC164,0.20714285714285716,0.6071428571428571,0.0,0.0,0.18571428571428572,0.0,0.0,0.0,Non-malignant disease,
GSE141526_BCC2,0.7695852534562212,0.10599078341013825,0.0,0.12442396313364056,0.0,0.0,0.0,0.0,Cancer_Tumor,BCC
GSE164241_GM183,0.08666666666666667,0.8533333333333334,0.013333333333333334,0.0,0.0,0.0,0.04666666666666667,0.0,Control,
GSE182786_18369X1_201002_A00421_0246_AHKMLGDSXY,0.08450704225352113,0.5821596244131455,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,Control,
GSE161266_Perio4,0.088,0.44,0.048,0.344,0.0,0.0,0.08,0.0,Control,
GSE180878_PM_D,0.17034700315457413,0.8296529968454258,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE143704_Sample_87378_HH3Y5BGX9_hu_111418,0.05343511450381679,0.45648854961832064,0.467175572519084,0.0,0.022900763358778626,0.0,0.0,0.0,Control,
GSE173252_sf3,0.14432989690721648,0.8556701030927835,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE182208_SC_NS-6,0.24207011686143573,0.7445742904841403,0.0,0.0,0.01335559265442404,0.0,0.0,0.0,Control,
