,Fibroblast|IL6,Fibroblast|HSP,Fibroblast|Universal,Fibroblast|KLK1,Fibroblast|LRRC15,Fibroblast|IL24,Fibroblast|CST2,Fibroblast|Alveolar,Fibroblast|CLDN1,Fibroblast|GREM2,Fibroblast|Corneal,Fibroblast|COX15,Fibroblast|CD36,Fibroblast|CCL19,Fibroblast|ISG,Fibroblast|Chondrocyte,Fibroblast|Dermal-sheath,Fibroblast|SYT1,Fibroblast|COCH,Fibroblast|ITGB8,Fibroblast|CLEC14A,Fibroblast|Satellite,Fibroblast|NRG1,Fibroblast|ADAMDEC1,Cancer_Tissue,Cancer_Type
2023_Kong_Immunity_CD|N105598_L2,0.0,0.025,0.03333333333333333,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38333333333333336,0.5166666666666667,Non-malignant disease,
2023_Kumar_Nature_Breast|hbca_c166,0.4498069498069498,0.13706563706563707,0.37258687258687256,0.04054054054054054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2022_Madissoon_NatGenet_Lung|WSSS8062680,0.3218390804597701,0.06321839080459771,0.3103448275862069,0.0,0.005747126436781609,0.0,0.0,0.005747126436781609,0.09195402298850575,0.017241379310344827,0.0,0.0,0.0,0.017241379310344827,0.011494252873563218,0.15517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2022_Gur_Cell_Sceleroderma|GSM5837034_AB11427,0.0,0.0,0.627906976744186,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.18604651162790697,0.011627906976744186,0.0,0.011627906976744186,0.011627906976744186,0.023255813953488372,0.0,0.10465116279069768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2020_Habermann_SciAdv_Lung-COVID19|GSM5226581_L01cov,0.0,0.0,0.06547619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9345238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2022_Gur_Cell_Sceleroderma|GSM5837266_AB7080,0.0,0.0,0.16470588235294117,0.03529411764705882,0.0,0.0,0.011764705882352941,0.0,0.0,0.5058823529411764,0.023529411764705882,0.0,0.0,0.09411764705882353,0.0,0.0,0.1411764705882353,0.0,0.023529411764705882,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2023_Kumar_Nature_Breast|hbca_c118,0.7918707149853085,0.030852105778648383,0.15964740450538686,0.01762977473065622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2021_Pal_EMBO_Breast|GSM4909309_ER-MH0043-T,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,BRCA
2023_Monavarfeshani_PNAS_Eye|Hu220OSmRPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2023_Kumar_Nature_Breast|hbca_c93,0.2692307692307692,0.007803790412486065,0.7229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2020_Adams_SciAdv_IPF|225I-b,0.057971014492753624,0.0,0.2318840579710145,0.0,0.08695652173913043,0.0,0.0,0.21739130434782608,0.0,0.0,0.0,0.0,0.4057971014492754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
